id;check_in_date;check_out_date;total_amount;status
1;2025-01-23T06:03:50;2025-01-23T04:38:33;6484.42;CONFIRMED
2;2025-01-23T02:47:35;2025-01-23T13:26:53;9836.67;CANCELLED
3;2025-01-23T00:45:03;2025-01-23T04:07:20;26195.19;CONFIRMED
4;2025-01-23T22:49:51;2025-01-23T22:05:40;11303.66;CANCELLED
5;2025-01-23T04:46:10;2025-01-23T17:21:48;11516.28;CANCELLED
6;2025-01-23T23:13:41;2025-01-23T21:07:50;9686.72;PENDING
7;2025-01-23T16:02:28;2025-01-23T16:13:28;19687.56;PENDING
8;2025-01-23T19:41:52;2025-01-23T10:41:15;3641.88;CANCELLED
9;2025-01-23T08:25:27;2025-01-23T07:34:27;8620.61;CONFIRMED
10;2025-01-23T18:20:15;2025-01-23T17:23:07;21225.47;PENDING
