id;room_number;room_type;price_per_night;is_available;amenities
1;17958;woefully hole cripple;16617.68;true;squeaky vivaciously unhappy
2;30905;gah onto violently;23792.97;false;portly
3;5543;madly;1598.15;false;fond aside
4;30961;duh immediate adventurously;5842.34;false;fooey after biodegrade
5;31160;less pressure;9774.1;false;overload
6;15482;pace ashamed;817.03;false;youthful potable militate
7;25604;horde plain concerning;31382.22;false;however nor
8;7826;state another;2639.81;false;license divert yuck
9;150;curry;31862.16;false;adumbrate cop-out
10;7971;finally usually;28090.69;true;as grown
